,Country,NumericValue,Low,High,Year
212,THA,15.0,,,2018
213,TJK,0.0,,,2018
214,TKM,0.0,,,2018
215,TLS,0.0,,,2018
216,TUR,0.0,,,2018
217,TZA,24278.0,22400.0,26900.0,2018
218,UGA,17114.0,15500.0,19300.0,2018
219,UZB,0.0,,,2018
220,VEN,373.0,190.0,570.0,2018
221,VNM,6.0,2.0,9.0,2018
222,VUT,0.0,,,2018
223,WPR,2999.0,1500.0,5100.0,2018
224,YEM,2211.0,930.0,4200.0,2018
225,ZAF,69.0,,,2018
226,ZMB,8107.0,7520.0,8870.0,2018
227,ZWE,1624.0,630.0,3100.0,2018
228,AFG,170.0,67.0,300.0,2019
229,AFR,544165.0,509000.0,628000.0,2019
230,AGO,13897.0,9630.0,21300.0,2019
231,AMR,510.0,337.0,703.0,2019
232,ARE,0.0,,,2019
233,ARG,0.0,,,2019
234,ARM,0.0,,,2019
235,AZE,0.0,,,2019
236,BDI,5315.0,4600.0,6420.0,2019
237,BEN,10454.0,9160.0,11900.0,2019
238,BFA,19228.0,14700.0,25900.0,2019
239,BGD,47.0,22.0,77.0,2019
240,BLZ,0.0,,,2019
241,BOL,4.0,1.0,8.0,2019
242,BRA,37.0,,,2019
243,BTN,0.0,,,2019
244,BWA,0.0,0.0,1.0,2019
245,CAF,5096.0,3260.0,8570.0,2019
246,CHN,0.0,,,2019
247,CIV,14918.0,12300.0,18100.0,2019
248,CMR,12792.0,11300.0,14600.0,2019
249,COD,65353.0,45400.0,94500.0,2019
250,COG,2360.0,2020.0,2930.0,2019
251,COL,3.0,,,2019
252,COM,45.0,21.0,69.0,2019
253,CPV,0.0,,,2019
254,CRI,0.0,,,2019
255,DJI,97.0,47.0,140.0,2019
256,DOM,4.0,,,2019
257,DZA,0.0,,,2019
258,ECU,0.0,,,2019
259,EMR,11903.0,6700.0,20400.0,2019
260,ERI,437.0,170.0,820.0,2019
261,ETH,5708.0,2060.0,11100.0,2019
262,EUR,0.0,,,2019
263,GAB,384.0,330.0,470.0,2019
264,GEO,0.0,,,2019
265,GHA,12324.0,11600.0,13200.0,2019
266,GIN,8611.0,7610.0,9870.0,2019
267,GLOBAL,568392.0,532000.0,654000.0,2019
268,GMB,601.0,570.0,640.0,2019
269,GNB,875.0,750.0,1060.0,2019
270,GNQ,726.0,590.0,960.0,2019
271,GTM,0.0,0.0,1.0,2019
272,GUY,30.0,15.0,47.0,2019
273,HND,0.0,,,2019
274,HTI,45.0,18.0,82.0,2019
275,IDN,1395.0,690.0,2140.0,2019
276,IND,7704.0,3530.0,13300.0,2019
277,IRN,0.0,,,2019
278,IRQ,0.0,,,2019
279,KAZ,0.0,,,2019
280,KEN,11298.0,10600.0,12400.0,2019
281,KGZ,0.0,,,2019
282,KHM,102.0,52.0,160.0,2019
283,KOR,0.0,,,2019
284,LAO,11.0,5.0,19.0,2019
285,LBR,3390.0,2880.0,4100.0,2019
286,LKA,0.0,,,2019
287,MAR,0.0,,,2019
288,MDG,5026.0,2050.0,9120.0,2019
289,MEX,0.0,,,2019
290,MLI,18630.0,15300.0,22600.0,2019
291,MMR,97.0,48.0,160.0,2019
292,MOZ,19156.0,14500.0,26700.0,2019
293,MRT,1114.0,950.0,1440.0,2019
294,MWI,7061.0,6260.0,8160.0,2019
295,MYS,0.0,,,2019
296,MYT,0.0,0.0,0.0,2019
