measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Congo,Both,All ages,Diabetes mellitus,Number,2020,1434.909490410368,1828.7713526374662,1123.6363855441843
Deaths,Ethiopia,Both,All ages,Tuberculosis,Number,2021,30034.84319212833,35820.76617412147,25222.426448696548
Deaths,China,Both,All ages,Rheumatoid arthritis,Number,2019,9763.707613464981,11849.385409264445,6972.750295494701
Deaths,Congo,Both,All ages,Tuberculosis,Number,2019,1929.179937721972,2853.5358738521254,1210.9638510402362
Deaths,Congo,Both,All ages,Tuberculosis,Number,2018,1937.601169530585,2819.4626159145987,1228.275027995448
Deaths,Congo,Both,All ages,Stroke,Number,2019,2860.5256026283164,3600.0850789956294,2200.6707849373797
Deaths,Pakistan,Both,All ages,Tuberculosis,Number,2021,65109.153938854426,83008.13592599917,46635.1178803971
Deaths,Pakistan,Both,All ages,Measles,Number,2021,729.6807286836217,1447.5974350073225,293.46368188904495
Deaths,India,Both,All ages,Asthma,Number,2017,202948.30029146947,304881.46136828203,140773.2430160931
Deaths,Pakistan,Both,All ages,Stroke,Number,2021,99759.78986903933,123652.58566753392,82952.14407455886
Deaths,Pakistan,Both,All ages,Asthma,Number,2021,13670.33588595702,26973.6362339554,8681.866960082649
Deaths,Ethiopia,Both,All ages,Measles,Number,2021,1438.3204169662429,2526.2773250974656,737.5830392772905
Deaths,Ethiopia,Both,All ages,Stroke,Number,2021,30378.141652389113,35772.467947016645,24898.953240155042
Deaths,Nigeria,Both,All ages,Acute hepatitis,Number,2017,4099.162975806567,6298.637507417555,2179.9101924710035
Deaths,China,Both,All ages,Measles,Number,2018,3.2140477704522934,4.81414242953608,2.101234172571072
Deaths,China,Both,All ages,Malaria,Number,2018,0.0,0.0,0.0
Deaths,Ethiopia,Both,All ages,Tuberculosis,Number,2017,32142.80005361395,37199.571555764975,28190.50424366954
Deaths,Ethiopia,Both,All ages,Asthma,Number,2021,3068.301317967709,4206.397373714352,2285.936647347198
Deaths,Congo,Both,All ages,Stroke,Number,2018,2782.5858842225807,3499.7013512924286,2167.108705486691
Deaths,Nigeria,Both,All ages,Diabetes mellitus,Number,2017,26201.616014747302,31653.400874645296,21221.64202638459
Deaths,Ethiopia,Both,All ages,Measles,Number,2017,5507.6349244840685,11867.506930049109,1733.8466798154982
Deaths,Ethiopia,Both,All ages,Stroke,Number,2017,27547.227485511296,31940.753290126853,23211.819491095976
Deaths,Ethiopia,Both,All ages,Asthma,Number,2017,2957.8402331406087,4039.9238315332595,2327.338558027948
