,Country,NumericValue,Low,High,Year
198,RWA,6184131.0,4523000.0,7923000.0,2018
199,SAU,61.0,,,2018
200,SDN,2485883.0,1154000.0,4696000.0,2018
201,SEAR,7538051.0,5400000.0,10300000.0,2018
202,SEN,1047659.0,731000.0,1405000.0,2018
203,SLB,86680.0,73000.0,103000.0,2018
204,SLE,2901372.0,2165000.0,3819000.0,2018
205,SLV,0.0,,,2018
206,SOM,913696.0,579000.0,1366000.0,2018
207,SSD,2898120.0,1695000.0,4628000.0,2018
208,STP,2937.0,,,2018
209,SUR,30.0,,,2018
210,SWZ,686.0,,,2018
211,SYR,0.0,,,2018
212,TCD,3216108.0,1851000.0,5303000.0,2018
213,TGO,2014395.0,1497000.0,2660000.0,2018
214,THA,4454.0,,,2018
215,TJK,0.0,,,2018
216,TKM,0.0,,,2018
217,TLS,0.0,,,2018
218,TUR,0.0,,,2018
219,TZA,6852548.0,5082000.0,9022000.0,2018
220,UGA,10905744.0,7261000.0,17280000.0,2018
221,UZB,0.0,,,2018
222,VEN,475212.0,423000.0,548000.0,2018
223,VNM,3777.0,3500.0,4200.0,2018
224,VUT,1167.0,890.0,1600.0,2018
225,WPR,1692724.0,1234000.0,2236000.0,2018
226,YEM,871031.0,603000.0,1264000.0,2018
227,ZAF,9562.0,,,2018
228,ZMB,3189765.0,2156000.0,4575000.0,2018
229,ZWE,634718.0,392000.0,896000.0,2018
230,AFG,413480.0,319000.0,525000.0,2019
231,AFR,217915997.0,199000000.0,240000000.0,2019
232,AGO,7352473.0,5514000.0,9561000.0,2019
233,AMR,894123.0,824000.0,979000.0,2019
234,ARE,0.0,,,2019
235,ARG,0.0,,,2019
236,ARM,0.0,,,2019
237,AZE,0.0,,,2019
238,BDI,3549058.0,2531000.0,4887000.0,2019
239,BEN,4937253.0,3806000.0,6291000.0,2019
240,BFA,7472680.0,5064000.0,10750000.0,2019
241,BGD,21202.0,18000.0,25000.0,2019
242,BLZ,0.0,,,2019
243,BOL,12654.0,9900.0,16000.0,2019
244,BRA,178650.0,160000.0,193000.0,2019
245,BTN,2.0,,,2019
246,BWA,259.0,200.0,360.0,2019
247,CAF,1681948.0,862000.0,2945000.0,2019
248,CHN,0.0,,,2019
249,CIV,7184054.0,4117000.0,11810000.0,2019
250,CMR,6246049.0,4526000.0,8397000.0,2019
251,COD,28830863.0,22130000.0,36930000.0,2019
252,COG,1324386.0,813000.0,2026000.0,2019
253,COL,119761.0,89000.0,154000.0,2019
254,COM,17599.0,,,2019
255,CPV,0.0,,,2019
256,CRI,95.0,,,2019
257,DJI,49402.0,,,2019
