measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,All ages,Diabetes mellitus,Number,2019,1590099.8825437638,1674727.0569687183,1489596.4384925496
Deaths,Global,Both,All ages,Alzheimer's disease and other dementias,Number,2018,1765255.6478455379,4621257.796188255,448270.87197834055
Deaths,Global,Both,All ages,Diabetes mellitus type 1,Number,2018,48234.33961872473,53128.25213781262,43240.92848419408
Deaths,Global,Both,All ages,Diabetes mellitus type 2,Number,2018,1485405.3985335808,1557535.763251922,1399746.9826101044
Deaths,Global,Both,All ages,Alzheimer's disease and other dementias,Number,2020,1883846.6194618477,4947498.665861033,479568.2683655052
Deaths,Global,Both,All ages,Measles,Number,2019,94424.05120326557,197877.0469558332,35696.605138026665
Deaths,Global,Both,All ages,Stroke,Number,2019,7033585.363225883,7517109.574306485,6416762.424015926
Deaths,Global,Both,All ages,Asthma,Number,2019,441387.92749217805,576670.348888607,362658.4531007307
Deaths,Global,Both,All ages,COVID-19,Number,2019,0.0,0.0,0.0
Deaths,Global,Both,All ages,Measles,Number,2018,99893.3562881201,207722.59078113784,35653.9283634546
Deaths,Global,Both,All ages,Stroke,Number,2018,6905838.479531941,7367381.705380487,6371165.8612090405
Deaths,Global,Both,All ages,Asthma,Number,2018,438540.5131374095,566337.1420090295,359887.33020332013
Deaths,Global,Both,All ages,COVID-19,Number,2018,0.0,0.0,0.0
Deaths,Global,Both,All ages,Tuberculosis,Number,2017,1245687.2954124033,1346056.2763199257,1154546.1006501107
Deaths,Global,Both,All ages,Rheumatoid arthritis,Number,2021,37330.34841051817,43135.53926975925,31060.30451761872
Deaths,Global,Both,All ages,Measles,Number,2020,69388.26268899218,112088.94728019656,38406.92659743564
Deaths,Global,Both,All ages,Stroke,Number,2020,7145972.30573587,7676021.909962266,6491820.651647094
Deaths,Global,Both,All ages,Asthma,Number,2020,438111.68425441004,568752.9888691393,360744.20000788633
Deaths,Global,Both,All ages,COVID-19,Number,2020,4801802.40624152,5105686.957983815,4567499.881295227
Deaths,Global,Both,All ages,Tuberculosis,Number,2021,1162795.8919709644,1313985.0465696654,1050008.015724133
Deaths,Global,Both,All ages,Malaria,Number,2021,748131.2444025845,1536034.8901330386,267703.3128384155
Deaths,Global,Both,All ages,Diabetes mellitus type 1,Number,2020,48358.00780565363,53945.813561148236,43114.63059493576
Deaths,Global,Both,All ages,Diabetes mellitus type 2,Number,2020,1577244.2144223314,1671688.35907011,1466067.4176991044
Deaths,Global,Both,All ages,Acute hepatitis,Number,2021,71846.39302436683,92908.27919160003,58044.95424306761
Deaths,Global,Both,All ages,Acute hepatitis A,Number,2021,26901.550697786446,42453.6613158975,18386.910150770098
Deaths,Global,Both,All ages,Acute hepatitis B,Number,2021,36025.28294874764,44620.842542353086,26239.409555570037
Deaths,Global,Both,All ages,Acute hepatitis C,Number,2021,5474.370252347495,9110.813200233251,2464.8132064726187
Deaths,Global,Both,All ages,Acute hepatitis E,Number,2021,3445.1891254852303,5842.003188845741,1885.144709028318
Deaths,Global,Both,All ages,Alzheimer's disease and other dementias,Number,2019,1828734.5630423832,4835027.25644123,467974.769657463
Deaths,Global,Both,All ages,Malaria,Number,2017,672611.9183002806,1311472.2465077243,262193.58788054035
Deaths,Global,Both,All ages,Measles,Number,2017,108660.35188427579,231141.3979753048,37933.29837405099
Deaths,Global,Both,All ages,Stroke,Number,2017,6784646.009579016,7267769.323812945,6231952.112345507
Deaths,Global,Both,All ages,Diabetes mellitus type 1,Number,2019,48516.34600131933,53653.68544191951,43420.441643832906
